id_cliente,edad,ingreso_mensual,nivel_educativo,ciudad,fecha_vinculacion,saldo_actual,cuotas_pagadas,cuotas_totales,estado_cuenta,score_externo
CLI-100042,67,4412572,Posgrado,"Manizales, Caldas",2016-07-04,11906860,7,48,Al día,612.0
CLI-100043,55,3039631,Secundaria,"Bucaramanga, Santander",2024-05-11,2037154,52,48,Al día,694.0
CLI-100044,67,1358259,Secundaria,San José de Cúcuta,2020-09-14,0,24,24,Cancelado,808.0
CLI-100045,27,1946043,Secundaria,ibague,2023-10-27,0,12,12,Cancelado,699.0
CLI-100046,26,0,Universitario,San José de Cúcuta,2020-04-15,3546561,3,12,Moroso,355.0
CLI-100047,63,5188948,Posgrado,SANTA MARTA,2015-03-28,0,24,24,Cancelado,
CLI-100048,56,1290246,Primaria,VILLAVICENCIO,2022-10-03,0,24,24,Cancelado,782.0
CLI-100049,36,3848783,Técnico,BARRANQUILLA,2021-05-21,3587865,8,24,Al día,356.0
CLI-100050,3,0,Universitario,"Pereira, Risaralda",2018-06-11,2719749,37,48,Al día,753.0
CLI-100051,62,2515013,Universitario,"Ibagué, Tolima",2022-08-06,1183464,1,6,Al día,601.0
CLI-100052,27,4514702,Técnico,"Bogotá, Colombia",2020-01-08,7541861,2,18,Moroso,
CLI-100053,59,0,Tecnólogo,Cartagena de Indias,2020-03-17,4854142,35,48,Al día,326.0
CLI-100054,44,1739085,Secundaria,Manizales,2024-09-06,12054575,7,36,Al día,371.0
CLI-100055,68,3488137,Tecnólogo,"Barranquilla, Atlántico",2020-06-11,698699,3,6,Al día,463.0
CLI-100056,60,0,Posgrado,pereira,2019-11-21,1224018,1,6,Al día,427.0
CLI-100057,51,3242656,Técnico,IBAGUÉ,2017-09-14,2236043,6,12,Al día,
CLI-100058,34,3100350,Técnico,Ibague,2021-06-15,0,18,18,Cancelado,463.0
CLI-100059,43,0,Técnico,Medellin,2017-07-22,604586,4,6,Al día,515.0
CLI-100060,48,2101553,Universitario,BAQ,2025-06-12,1735632,16,24,Al día,516.0
CLI-100061,2,1480036,Secundaria,"Ibagué, Tolima",2021-11-06,2677785,13,24,Al día,616.0
CLI-100062,37,3033179,Tecnólogo,SMR,2017-03-26,1934364,1,6,Al día,817.0
CLI-100063,47,900000,Tecnólogo,CAL,2015-06-16,8341170,5,18,Moroso,
CLI-100064,76,4103703,Universitario,Cucuta,2021-06-14,12373696,19,48,Al día,662.0
CLI-100065,60,1379170,Universitario,Cali,2023-09-20,0,12,12,Cancelado,640.0
CLI-100066,32,0,Secundaria,BUCARAMANGA,2023-08-23,2687425,1,12,Moroso,
CLI-100067,69,3833298,Tecnólogo,PEI,2021-02-12,193015,4,6,Al día,388.0
CLI-100068,2,3506975,Técnico,VILLAVICENCIO,2024-04-03,566677,1,6,Al día,579.0
CLI-100069,51,2176290,Técnico,"Ibagué, Tolima",2024-09-06,0,48,48,Cancelado,732.0
CLI-100070,34,2362663,Tecnólogo,CARTAGENA,2020-12-06,0,48,48,Cancelado,
CLI-100071,69,2349394,Secundaria,bucaramanga,2021-04-24,316931,5,6,Al día,314.0
CLI-100072,24,0,Universitario,Villavo,2023-12-25,14628939,10,48,Al día,643.0
CLI-100073,57,0,Posgrado,Manizales,2023-09-06,5211882,6,18,Moroso,
CLI-100074,34,4862670,Universitario,Bucaramanga,2022-08-21,6934171,14,36,Al día,636.0
CLI-100075,67,1909891,Secundaria,San José de Cúcuta,2015-08-05,888685,9,12,Al día,777.0
CLI-100076,38,0,Técnico,Manizales,2024-12-08,6510537,4,24,Al día,815.0
CLI-100077,43,2659480,Tecnólogo,pereira,2017-12-07,802431,4,6,Al día,354.0
CLI-100078,3,3530148,Técnico,pereira,2020-06-06,1331740,5,18,Al día,567.0
CLI-100079,36,900000,Secundaria,San José de Cúcuta,2016-04-16,3753177,0,6,Moroso,643.0
CLI-100080,58,4593876,Tecnólogo,MZL,2021-12-26,2221582,37,48,Al día,582.0
CLI-100081,71,6531649,Universitario,PEI,2020-10-02,7447327,20,48,Al día,654.0
CLI-100082,69,0,Técnico,PEI,2021-12-26,6688697,3,36,Moroso,830.0
CLI-100083,27,1407124,Secundaria,Villavo,2018-04-11,1982130,12,36,Al día,577.0
CLI-100084,19,6511815,Universitario,CARTAGENA,2021-09-13,0,18,18,Cancelado,755.0
CLI-100085,38,2295720,Secundaria,Bta,2021-05-19,1535987,2,6,Al día,816.0
CLI-100086,71,0,Secundaria,manizales,2017-08-13,1627980,20,24,Al día,706.0
CLI-100087,52,0,Primaria,CARTAGENA,2018-05-03,1714764,31,36,Al día,477.0
CLI-100088,58,0,Tecnólogo,villavicencio,2019-05-12,1359198,26,36,Al día,319.0
CLI-100089,45,900000,Secundaria,"Villavicencio, Meta",2015-04-04,0,6,6,Cancelado,840.0
CLI-100090,39,1929889,Técnico,"Cali, Colombia",2024-08-30,4473819,18,48,Al día,682.0
CLI-100091,31,3727718,Universitario,PEI,2017-01-03,3068443,17,24,Al día,669.0
CLI-100092,75,2907983,Secundaria,PEREIRA,2024-12-14,3663052,39,48,Al día,354.0
CLI-100093,43,0,Primaria,MANIZALES,2019-12-09,8589279,27,48,Al día,355.0
CLI-100094,61,6633642,Universitario,"Villavicencio, Meta",2025-05-29,3883822,3,24,Al día,803.0
CLI-100095,74,4447201,Universitario,"Santa Marta, Magdalena",2024-10-04,2418384,5,18,Al día,624.0
CLI-100096,3,0,Secundaria,Pereira,2018-01-11,26840511,3,48,Moroso,
CLI-100097,49,12051997,Posgrado,Villavicencio,2016-03-29,1721492,1,6,Moroso,494.0
CLI-100098,1,0,Secundaria,bucaramanga,2015-10-23,1760197,3,18,Al día,482.0
CLI-100099,39,1493619,Primaria,Barranquilla,2020-08-14,3275920,6,24,Al día,449.0
CLI-100100,69,2334148,Secundaria,Ibagué,2022-01-06,5887367,9,24,Al día,514.0
CLI-100101,36,9406922,Posgrado,VILLAVICENCIO,2021-12-06,4011508,9,24,Moroso,
CLI-100102,20,5149710,Universitario,SMR,2021-02-12,0,12,12,Cancelado,312.0
CLI-100103,70,0,Secundaria,MDL,2019-10-25,244944,16,18,Al día,744.0
CLI-100104,33,10644038,Posgrado,"Medellín, Colombia",2024-12-11,0,48,48,Cancelado,517.0
CLI-100105,27,2169190,Tecnólogo,"Cali, Valle",2019-09-07,10474723,16,48,Moroso,840.0
CLI-100106,46,5317931,Universitario,BGA,2021-10-05,1723220,27,48,Al día,728.0
CLI-100107,77,1317340,Secundaria,IBAGUÉ,2018-09-17,11235865,13,48,Moroso,
CLI-100108,28,1769290,Técnico,Villavicencio,2019-01-19,5129521,0,12,Moroso,401.0
CLI-100109,45,900000,Secundaria,Cucuta,2024-06-27,3102686,6,18,Al día,420.0
CLI-100110,66,1495061,Secundaria,CÚCUTA,2019-08-02,3676483,21,48,Al día,624.0
CLI-100111,30,2391021,Secundaria,"Ibagué, Tolima",2020-02-06,0,36,36,Cancelado,703.0
CLI-100112,20,1338490,Técnico,BOG,2024-02-02,6725597,8,24,Al día,719.0
CLI-100113,20,2503085,Secundaria,PEREIRA,2025-02-12,0,18,18,Cancelado,463.0
CLI-100114,75,0,Secundaria,"Villavicencio, Meta",2021-09-11,3032873,3,12,Moroso,337.0
CLI-100115,68,2352541,Tecnólogo,cucuta,2021-08-11,8227929,11,36,Al día,822.0
CLI-100116,78,0,Secundaria,Cali,2017-10-16,8974434,20,48,Al día,
CLI-100117,36,0,Técnico,Bucaramanga,2025-04-11,1788837,1,6,Al día,743.0
CLI-100118,30,1978866,Técnico,Santa Marta,2022-05-08,0,12,12,Cancelado,680.0
CLI-100119,73,0,Universitario,IBAGUÉ,2023-11-23,2298210,0,6,Al día,724.0
CLI-100120,40,1774036,Técnico,MDL,2018-04-24,4130296,26,48,Al día,394.0
CLI-100121,41,0,Secundaria,Cúcuta,2025-06-07,4225650,8,18,Al día,791.0
CLI-100122,76,7888415,Universitario,Bogotá,2016-01-31,0,18,18,Cancelado,610.0
CLI-100123,62,8843857,Universitario,"Santa Marta, Magdalena",2022-10-09,2081339,1,6,Al día,763.0
CLI-100124,68,4323300,Universitario,villavicencio,2019-08-27,6221369,13,48,Al día,515.0
CLI-100125,28,0,Técnico,Cartagena de Indias,2018-06-15,1604535,12,18,Al día,575.0
CLI-100126,64,0,Técnico,BARRANQUILLA,2015-11-07,498834,3,6,Al día,415.0
CLI-100127,48,0,Universitario,IBAGUÉ,2022-05-09,263058,5,6,Al día,437.0
CLI-100128,64,2619714,Técnico,"Cali, Valle",2015-03-14,0,12,12,Cancelado,567.0
CLI-100129,72,0,Secundaria,BAQ,2016-10-02,19161657,9,48,Moroso,804.0
CLI-100130,45,5088382,Universitario,Ibague,2021-04-19,0,48,48,Cancelado,331.0
CLI-100131,66,1896190,Secundaria,BOG,2024-08-08,1354159,2,6,Al día,667.0
CLI-100132,32,0,Técnico,B/manga,2022-01-06,4538335,5,24,Moroso,
CLI-100133,55,3276754,Tecnólogo,Med.,2016-02-28,7692571,26,48,Al día,461.0
CLI-100134,23,5384612,Universitario,B/manga,2021-10-17,3985557,3,18,Al día,723.0
CLI-100135,23,0,Tecnólogo,San José de Cúcuta,2021-06-21,2649440,14,24,Al día,305.0
CLI-100136,49,6766274,Universitario,cartagena,2021-11-24,0,18,18,Cancelado,729.0
CLI-100137,37,0,Posgrado,"Barranquilla, Atlántico",2015-01-23,5293739,23,36,Al día,767.0
CLI-100138,65,1801083,Secundaria,MEDELLÍN,2022-08-18,0,36,36,Cancelado,379.0
CLI-100139,47,2977921,Tecnólogo,Cartagena,2023-05-08,2430781,8,36,Al día,443.0
CLI-100140,52,0,Primaria,Santa Marta,2016-10-14,13252017,13,36,Moroso,489.0
CLI-100141,70,11571109,Posgrado,"Manizales, Caldas",2019-12-23,4408915,19,36,Al día,744.0
CLI-100142,73,0,Secundaria,Pereira,2023-05-19,4186461,33,48,Al día,324.0
CLI-100143,63,1411411,Primaria,Cucuta,2017-12-09,0,48,48,Cancelado,478.0
CLI-100144,60,0,Tecnólogo,Medellín,2017-10-26,1017436,12,18,Al día,350.0
CLI-100145,45,3443611,Tecnólogo,CALI,2024-07-05,1670085,4,12,Al día,556.0
CLI-100146,54,0,Universitario,CÚCUTA,2018-12-07,1275175,9,24,Al día,425.0
CLI-100147,53,3368524,Tecnólogo,villavicencio,2023-09-06,2191453,18,24,Al día,321.0
CLI-100148,39,2300539,Técnico,Villavo,2019-12-21,330570,5,6,Al día,311.0
CLI-100149,44,0,Posgrado,medellín,2017-09-10,6308162,19,36,Al día,621.0
CLI-100150,59,3292112,Técnico,santa marta,2020-01-16,4986125,6,24,Al día,838.0
CLI-100151,56,0,Secundaria,"Medellín, Colombia",2022-10-03,8689121,23,48,Al día,841.0
CLI-100152,69,0,Secundaria,Manizales,2025-04-12,907217,7,12,Al día,656.0
CLI-100153,30,1429647,Secundaria,Villavicencio,2022-07-26,469551,2,6,Al día,725.0
CLI-100154,45,0,Tecnólogo,"Santa Marta, Magdalena",2022-07-26,1737747,2,12,Al día,334.0
CLI-100155,66,2585025,Secundaria,cucuta,2024-03-26,624639,18,24,Al día,442.0
CLI-100156,53,7156526,Universitario,Villavicencio,2020-10-02,1374372,19,24,Al día,810.0
CLI-100157,58,4058618,Técnico,"Pereira, Risaralda",2017-08-03,0,12,12,Cancelado,829.0
CLI-100158,38,5200206,Universitario,manizales,2024-05-20,6004869,14,36,Moroso,
CLI-100159,71,2677441,Técnico,Ibagué,2018-06-21,2989639,4,18,Moroso,
CLI-100160,2,0,Universitario,ibague,2021-04-04,5130643,9,24,Al día,778.0
CLI-100161,33,0,Técnico,Sta Marta,2018-05-11,268394,5,6,Al día,630.0
CLI-100162,52,1075466,Primaria,Sta Marta,2024-09-07,0,48,48,Cancelado,311.0
CLI-100163,19,0,Técnico,IBAGUÉ,2024-04-13,974071,15,18,Al día,646.0
CLI-100164,53,900000,Universitario,CALI,2017-11-08,0,36,36,Cancelado,643.0
CLI-100165,61,5986341,Posgrado,pereira,2021-01-08,794953,5,12,Al día,511.0
CLI-100166,62,2304170,Técnico,SMR,2018-12-04,1609360,2,6,Al día,677.0
CLI-100167,60,1885581,Técnico,MEDELLÍN,2024-05-28,2171554,4,18,Al día,439.0
CLI-100168,0,0,Técnico,ibague,2021-04-30,1689456,3,18,Al día,830.0
CLI-100169,29,0,Universitario,Barranquilla,2020-08-23,1722305,9,18,Al día,300.0
CLI-100170,60,5866544,Universitario,"Barranquilla, Atlántico",2022-04-04,456511,1,6,Al día,696.0
CLI-100171,55,4117941,Universitario,Villavicencio,2016-04-29,1089824,8,18,Al día,549.0
CLI-100172,65,1248602,Tecnólogo,MDL,2018-10-20,2999594,17,48,Al día,705.0
CLI-100173,56,3819897,Tecnólogo,Santa Marta,2020-12-11,722655,5,12,Al día,466.0
CLI-100174,33,0,Tecnólogo,pereira,2019-08-19,3557839,4,18,Al día,659.0
CLI-100175,3,0,Tecnólogo,Bucaramanga,2023-01-27,1480197,8,18,Al día,581.0
CLI-100176,25,900000,Secundaria,"Ibagué, Tolima",2017-09-26,0,6,6,Cancelado,760.0
CLI-100177,19,0,Tecnólogo,Manizales,2023-11-01,7309411,7,24,Al día,691.0
CLI-100178,78,2212854,Técnico,medellin,2023-07-13,1715939,7,12,Al día,515.0
CLI-100179,18,2829688,Técnico,Cúcuta,2020-01-29,0,24,24,Cancelado,308.0
CLI-100180,69,4012389,Tecnólogo,CÚCUTA,2016-11-16,7819921,49,48,Al día,450.0
CLI-100181,46,1645310,Secundaria,Medellín,2021-06-14,0,36,36,Cancelado,321.0
CLI-100182,68,0,Secundaria,Ibague,2016-10-07,1170161,37,48,Al día,313.0
CLI-100183,36,2579356,Universitario,villavicencio,2022-10-05,12312143,10,36,Moroso,
CLI-100184,21,3104866,Secundaria,cartagena,2020-10-05,179896,5,6,Al día,363.0
CLI-100185,24,1796859,Universitario,Bogotá D.C.,2023-05-23,0,18,18,Cancelado,831.0
CLI-100186,43,5101480,Universitario,ibague,2020-02-05,204644,5,6,Al día,470.0
CLI-100187,25,3260650,Técnico,Barranquilla,2021-04-25,0,48,48,Cancelado,682.0
CLI-100188,48,3644932,Universitario,San José de Cúcuta,2016-08-01,835158,4,6,Al día,528.0
CLI-100189,48,3682252,Tecnólogo,barranquilla,2021-08-29,2328464,11,18,Al día,758.0
CLI-100190,59,2086663,Secundaria,"Santa Marta, Magdalena",2025-03-27,999369,13,18,Al día,831.0
CLI-100191,25,900000,Primaria,"Barranquilla, Atlántico",2015-07-26,8643028,51,48,Al día,385.0
CLI-100192,46,0,Universitario,Barranqilla,2021-08-02,12068864,8,36,Al día,736.0
CLI-100193,20,1673605,Secundaria,pereira,2024-02-27,9948223,5,24,Moroso,704.0
CLI-100194,22,0,Universitario,CARTAGENA,2020-09-24,1417941,18,24,Al día,439.0
CLI-100195,49,2520329,Técnico,ibague,2016-03-02,658316,16,24,Al día,732.0
CLI-100196,37,1306953,Secundaria,medellín,2024-05-28,206689,5,6,Al día,554.0
CLI-100197,20,0,Primaria,IBAGUÉ,2021-11-13,876738,17,24,Al día,492.0
CLI-100198,41,9526075,Posgrado,villavicencio,2022-07-27,0,24,24,Cancelado,844.0
CLI-100199,72,0,Técnico,PEREIRA,2015-11-28,3883282,9,18,Al día,705.0
CLI-100200,36,2019711,Secundaria,Ibagué,2016-09-11,2141482,1,6,Al día,525.0
CLI-100201,20,0,Secundaria,Barranqilla,2019-01-25,695470,1,6,Al día,733.0
CLI-100202,37,0,Universitario,MDL,2017-10-12,713480,21,24,Al día,582.0
CLI-100203,34,1609297,Secundaria,Cúcuta,2016-04-15,3345372,4,12,Moroso,792.0
CLI-100204,3,1223578,Secundaria,BOGOTÁ,2015-12-29,2015292,3,24,Al día,744.0
CLI-100205,45,4881085,Universitario,Medellin,2015-02-25,0,48,48,Cancelado,805.0
CLI-100206,23,0,Técnico,cali,2021-02-21,9701061,12,48,Al día,473.0
CLI-100207,0,1426934,Secundaria,cartagena,2023-10-09,4022372,13,36,Al día,700.0
CLI-100208,43,1595873,Técnico,"Villavicencio, Meta",2020-02-04,3382231,24,48,Al día,825.0
CLI-100209,72,900000,Primaria,"Ibagué, Tolima",2017-12-04,619860,30,36,Al día,602.0
CLI-100210,3,0,Universitario,medellín,2015-01-27,591233,4,6,Al día,688.0
CLI-100211,64,5197953,Universitario,"Ibagué, Tolima",2015-05-26,8781704,10,36,Al día,312.0
CLI-100212,59,0,Técnico,manizales,2020-07-15,7502376,15,48,Al día,457.0
CLI-100213,50,2302781,Tecnólogo,Ibagué,2025-02-26,0,6,6,Cancelado,487.0
CLI-100214,44,1851745,Secundaria,"Cali, Valle",2024-12-14,1384024,6,18,Al día,498.0
CLI-100215,69,3098359,Secundaria,villavicencio,2015-06-13,1966400,1,6,Al día,420.0
CLI-100216,54,2236153,Secundaria,SANTA MARTA,2016-07-01,0,36,36,Cancelado,846.0
CLI-100217,22,1744534,Técnico,manizales,2020-01-21,0,24,24,Cancelado,322.0
CLI-100218,30,3633510,Universitario,"Villavicencio, Meta",2017-03-12,2429335,1,6,Moroso,
CLI-100219,71,0,Posgrado,Sta Marta,2015-01-31,4453537,7,24,Al día,352.0
CLI-100220,18,2288460,Técnico,"Ibagué, Tolima",2016-03-16,2531424,1,6,Moroso,745.0
CLI-100221,52,3859044,Universitario,Barranquilla,2016-10-06,4716491,21,36,Al día,641.0
CLI-100222,37,1601513,Secundaria,BOGOTÁ,2021-01-17,1140581,2,12,Al día,479.0
CLI-100223,63,6704106,Universitario,cali,2019-06-19,0,18,18,Cancelado,447.0
CLI-100224,58,3835634,Tecnólogo,Cartagena de Indias,2021-04-10,17273666,18,48,Moroso,454.0
CLI-100225,67,0,Secundaria,San José de Cúcuta,2023-09-03,507041,2,6,Al día,338.0
CLI-100226,50,0,Tecnólogo,"Cartagena, Bolívar",2019-08-20,1578990,14,18,Al día,779.0
CLI-100227,61,1538137,Secundaria,Santiago de Cali,2020-02-20,863514,4,6,Al día,816.0
CLI-100228,69,0,Universitario,medellín,2021-02-05,17671685,17,48,Moroso,
CLI-100229,51,4092451,Universitario,Bucaramanga,2019-02-22,2083236,3,12,Moroso,
CLI-100230,25,10616149,Posgrado,"Ibagué, Tolima",2020-02-26,0,6,6,Cancelado,735.0
CLI-100231,27,2727025,Secundaria,MDL,2016-11-05,374028,9,12,Al día,786.0
CLI-100232,21,6131526,Universitario,Villavo,2022-09-24,0,48,48,Cancelado,440.0
CLI-100233,70,2713478,Técnico,"Cali, Valle",2023-08-05,2444568,2,6,Moroso,
CLI-100234,2,0,Primaria,Villavo,2019-08-30,2680455,25,36,Al día,630.0
CLI-100235,27,0,Universitario,Medellín,2024-05-17,8114179,2,36,Moroso,839.0
CLI-100236,58,5038182,Universitario,CTG,2018-04-02,1242081,6,12,Al día,691.0
CLI-100237,74,1669602,Secundaria,"Manizales, Caldas",2015-05-20,0,36,36,Cancelado,752.0
CLI-100238,59,6203963,Universitario,B/quilla,2023-01-01,0,18,18,Cancelado,490.0
CLI-100239,53,1414775,Primaria,PEREIRA,2018-05-25,0,6,6,Cancelado,435.0
CLI-100240,28,3103828,Universitario,"Barranquilla, Atlántico",2016-12-28,0,6,6,Cancelado,725.0
CLI-100241,35,2221295,Técnico,"Cali, Valle",2020-12-14,0,18,18,Cancelado,
CLI-100242,29,1101650,Técnico,CAL,2020-11-27,2120098,13,18,Al día,479.0
CLI-100243,1,4146582,Técnico,CTG,2017-09-22,788175,4,6,Al día,398.0
CLI-100244,28,1854917,Secundaria,"Villavicencio, Meta",2016-11-26,0,48,48,Cancelado,424.0
CLI-100245,67,1880752,Técnico,Cartagena de Indias,2018-06-25,2233843,10,36,Al día,511.0
CLI-100246,20,4394607,Tecnólogo,"Bucaramanga, Santander",2019-03-18,7765665,16,36,Al día,665.0
CLI-100247,47,0,Universitario,cartagena,2015-04-27,10643420,7,36,Moroso,829.0
CLI-100248,2,1386089,Primaria,Manizales,2021-05-28,11058229,5,36,Moroso,701.0
CLI-100249,76,2629730,Tecnólogo,medellin,2023-03-21,2078254,1,6,Al día,353.0
CLI-100250,1,0,Tecnólogo,"Ibagué, Tolima",2020-10-18,3990365,8,18,Al día,544.0
CLI-100251,0,5393988,Universitario,San José de Cúcuta,2024-06-10,609344,31,36,Al día,719.0
CLI-100252,61,11279944,Posgrado,"Ibagué, Tolima",2024-09-19,831814,3,12,Al día,431.0
CLI-100253,19,2101887,Secundaria,San José de Cúcuta,2017-07-12,0,48,48,Cancelado,508.0
CLI-100254,30,2857638,Universitario,Bogota,2018-03-06,2190665,12,24,Al día,536.0
CLI-100255,44,1985404,Técnico,BGA,2022-01-08,749601,7,12,Al día,830.0
CLI-100256,61,0,Universitario,"Pereira, Risaralda",2016-02-14,3862382,3,12,Al día,673.0
CLI-100257,76,8230374,Posgrado,BARRANQUILLA,2019-11-12,9372593,17,48,Al día,523.0
CLI-100258,32,4103742,Técnico,villavicencio,2022-05-15,331364,3,6,Al día,667.0
CLI-100259,21,3058268,Tecnólogo,"Bucaramanga, Santander",2019-09-28,2576230,20,36,Al día,586.0
CLI-100260,79,3634755,Universitario,ibague,2015-05-02,2932668,5,12,Al día,445.0
CLI-100261,28,3781763,Tecnólogo,cartagena,2019-06-25,6085093,3,12,Moroso,663.0
CLI-100262,49,1068491,Secundaria,CAL,2020-07-20,0,48,48,Cancelado,
CLI-100263,51,2646137,Técnico,Barranquilla,2016-03-07,2585014,9,18,Al día,414.0
CLI-100264,23,3799521,Tecnólogo,"Manizales, Caldas",2016-01-04,0,48,48,Cancelado,
CLI-100265,43,3706898,Técnico,Medellin,2018-01-02,0,12,12,Cancelado,351.0
CLI-100266,38,2115121,Universitario,Ibague,2015-11-29,10428085,17,48,Al día,780.0
CLI-100267,27,2112762,Técnico,pereira,2015-03-08,4421748,17,12,Al día,358.0
CLI-100268,23,3557556,Posgrado,MANIZALES,2022-10-19,10072375,13,36,Al día,666.0
CLI-100269,39,2532377,Secundaria,Med.,2022-04-27,288712,3,6,Al día,812.0
CLI-100270,52,0,Tecnólogo,"Villavicencio, Meta",2017-05-28,1702165,19,36,Al día,787.0
CLI-100271,29,4343093,Universitario,Santiago de Cali,2024-08-28,1236225,11,18,Al día,725.0
CLI-100272,72,5592109,Universitario,"Cartagena, Bolívar",2015-08-11,3440066,10,18,Al día,801.0
CLI-100273,76,0,Tecnólogo,Bogotá,2024-01-02,2686527,11,24,Al día,406.0
CLI-100274,26,3562028,Tecnólogo,Pereira,2021-11-06,1338061,12,24,Al día,681.0
CLI-100275,23,4012257,Técnico,IBAGUÉ,2022-04-17,0,24,24,Cancelado,583.0
CLI-100276,52,1533687,Secundaria,Manizales,2021-01-04,240133,5,6,Al día,688.0
CLI-100277,48,7117835,Universitario,Ibague,2025-05-21,1503195,44,36,Al día,419.0
CLI-100278,32,1902232,Técnico,SMR,2025-04-14,3671830,12,24,Al día,757.0
CLI-100279,65,0,Universitario,"Manizales, Caldas",2023-02-26,5616866,5,18,Al día,476.0
CLI-100280,33,0,Secundaria,MDL,2018-11-24,5558100,7,36,Al día,686.0
CLI-100281,23,0,Secundaria,MANIZALES,2019-03-20,6259844,15,48,Al día,674.0
CLI-100282,49,0,Posgrado,"Pereira, Risaralda",2016-03-04,1303680,10,18,Al día,566.0
CLI-100283,62,0,Universitario,Cartagena de Indias,2021-12-25,1435252,13,24,Al día,633.0
CLI-100284,56,0,Universitario,Sta Marta,2018-08-25,2887360,5,12,Al día,505.0
CLI-100285,38,2323761,Tecnólogo,SMR,2022-07-25,0,12,12,Cancelado,388.0
CLI-100286,63,6405873,Universitario,"Manizales, Caldas",2017-08-14,512065,12,18,Al día,320.0
